Name,Platform,Genre,Publisher,Year_of_Release
Wii Sports,Wii,Sports,Nintendo,2006
Super Mario Bros.,NES,Platform,Nintendo,1985
Mario Kart Wii,Wii,Racing,Nintendo,2008
Wii Sports Resort,Wii,Sports,Nintendo,2009
Pokemon Red/Pokemon Blue,GB,Role-Playing,Nintendo,1996
Tetris,GB,Puzzle,Nintendo,1989
New Super Mario Bros.,DS,Platform,Nintendo,2006
Wii Play,Wii,Misc,Nintendo,2006
New Super Mario Bros. Wii,Wii,Platform,Nintendo,2009
Duck Hunt,NES,Shooter,Nintendo,1984
Nintendogs,DS,Simulation,Nintendo,2005
Mario Kart DS,DS,Racing,Nintendo,2005
Pokemon Gold/Pokemon Silver,GB,Role-Playing,Nintendo,1999
Wii Fit,Wii,Sports,Nintendo,2007
Kinect Adventures!,X360,Misc,Microsoft Game Studios,2010
Wii Fit Plus,Wii,Sports,Nintendo,2009
Grand Theft Auto V,PS3,Action,Take-Two Interactive,2013
Grand Theft Auto: San Andreas,PS2,Action,Take-Two Interactive,2004
Super Mario World,SNES,Platform,Nintendo,1990
Brain Age: Train Your Brain in Minutes a Day,DS,Misc,Nintendo,2005
Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,Nintendo,2006
Super Mario Land,GB,Platform,Nintendo,1989
Super Mario Bros. 3,NES,Platform,Nintendo,1988
Grand Theft Auto V,X360,Action,Take-Two Interactive,2013
Grand Theft Auto: Vice City,PS2,Action,Take-Two Interactive,2002
Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing,Nintendo,2002
Brain Age 2: More Training in Minutes a Day,DS,Puzzle,Nintendo,2005
Pokemon Black/Pokemon White,DS,Role-Playing,Nintendo,2010
Gran Turismo 3: A-Spec,PS2,Racing,Sony Computer Entertainment,2001
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,2011
Pokémon Yellow: Special Pikachu Edition,GB,Role-Playing,Nintendo,1998
Call of Duty: Black Ops 3,PS4,Shooter,Activision,2015
Call of Duty: Black Ops,X360,Shooter,Activision,2010
Pokemon X/Pokemon Y,3DS,Role-Playing,Nintendo,2013
Call of Duty: Black Ops II,PS3,Shooter,Activision,2012
Call of Duty: Black Ops II,X360,Shooter,Activision,2012
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,2009
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,2011
